ENRLMT_ID,NPI
O20030305000024,1811102221
O20030305000024,1972523447
O20030305000024,1982624458
O20030306000014,1295789675
O20030307000006,1457566259
O20030307000006,1487783312
O20030307000006,1487787529
O20030307000006,1518091438
O20030307000006,1831304633
O20030307000006,1861521791
O20030307000027,1295729408
O20030307000027,1972877017
O20030307000029,1295729408
O20030307000029,1972877017
O20030307000033,1790051290
O20030307000033,1972877017
O20030307000043,1295729408
O20030307000043,1972877017
O20030310000026,1245877430
O20030310000026,1255330148
O20030311000010,1689823866
O20030311000013,1730166034
O20030311000017,1689977365
O20030311000017,1730166034
O20030311000019,1730166034
O20030312000005,1760598700
O20030317000021,1083859516
O20030317000032,1104858356
O20030317000032,1235165499
O20030317000032,1295768471
O20030317000032,1538192182
O20030317000032,1629597463
O20030317000032,1679009997
O20030319000000,1336897735
O20030319000024,1063787851
O20030319000024,1073073250
O20030319000024,1134552003
O20030319000024,1144596479
O20030319000024,1235409236
O20030319000024,1275882102
O20030319000024,1346514015
O20030319000024,1376164129
O20030319000024,1407112642
O20030319000024,1427323690
O20030319000024,1447516687
O20030319000024,1710787916
O20030319000024,1750647905
O20030319000024,1790904225
O20030319000024,1801130612
O20030319000024,1801148861
O20030319000024,1821802117
O20030319000024,1841554151
O20030319000024,1962776989
O20030319000024,1982970828
O20030321000004,1437128493
O20030321000062,1275578817
O20030325000015,1710149984
O20030327000003,1962658302
O20030327000012,1356448740
O20030328000004,1841603776
O20030331000022,1003367491
O20030331000022,1295756898
O20030331000022,1700809027
O20030331000025,1679597108
O20030401000006,1023180502
O20030401000020,1467467191
O20030401000026,1710939533
O20030402000015,1750057279
O20030403000029,1790787968
O20030407000011,1477078517
O20030407000011,1619493954
O20030409000013,1942374772
O20030409000027,1780996223
O20030410000003,1831799717
O20030410000012,1689603482
O20030411000010,1902023955
O20030411000015,1316602675
O20030411000015,1386295210
O20030414000032,1972394583
O20030416000027,1013503721
O20030418000025,1578108478
O20030418000025,1780062273
O20030418000025,1821619479
O20030421000001,1184004236
O20030421000001,1750760740
O20030421000001,1760861751
O20030421000001,1831784636
O20030421000022,1730213653
O20030422000019,1043243215
O20030422000019,1073882825
O20030422000019,1134152317
O20030422000019,1194859165
O20030422000019,1225061492
O20030422000019,1235163312
O20030422000019,1336172535
O20030422000019,1396778577
O20030422000019,1568495745
O20030422000019,1962990317
O20030422000028,1326113762
O20030422000077,1831128602
O20030423000044,1023493293
O20030430000017,1831395243
O20030430000045,1134194004
O20030501000035,1265415806
O20030502000025,1528002185
O20030502000025,1548203672
O20030502000042,1457402364
O20030505000007,1033365853
O20030505000007,1053354506
O20030505000007,1053354985
O20030505000007,1104050160
O20030505000007,1104834076
O20030505000007,1144264540
O20030505000007,1154684835
O20030505000007,1174567184
O20030505000007,1275577215
O20030505000007,1326463845
O20030505000007,1336185651
O20030505000007,1336495068
O20030505000007,1346282563
O20030505000007,1407893936
O20030505000007,1437305299
O20030505000007,1437713583
O20030505000007,1447461967
O20030505000007,1497054415
O20030505000007,1508099656
O20030505000007,1518909563
O20030505000007,1528259132
O20030505000007,1558696583
O20030505000007,1568739043
O20030505000007,1609146133
O20030505000007,1679707632
O20030505000007,1699718775
O20030505000007,1750346243
O20030505000007,1861790032
O20030505000007,1962659094
O20030505000025,1336182328
O20030505000032,1013194729
O20030505000032,1104881911
O20030505000032,1124061114
O20030505000032,1720384175
O20030505000052,1063668937
O20030505000052,1144264540
O20030505000052,1265474704
O20030505000052,1275789091
O20030505000052,1295182855
O20030505000052,1336276005
O20030505000052,1447550702
O20030505000052,1508099656
O20030505000052,1508457045
O20030505000052,1518173319
O20030505000052,1588929079
O20030505000052,1619914207
O20030505000052,1629646211
O20030505000052,1962447995
O20030505000052,1962659094
O20030505000073,1043254501
O20030505000073,1619911179
O20030505000073,1881651990
O20030506000004,1033426960
O20030506000004,1083197214
O20030506000004,1215755400
O20030506000004,1285692145
O20030506000004,1417548959
O20030506000004,1447527767
O20030506000004,1598700528
O20030506000004,1609056100
O20030506000004,1699732586
O20030506000004,1760425607
O20030507000021,1487161576
O20030507000021,1548777634
O20030507000021,1770090862
O20030507000045,1194823013
O20030507000045,1336244797
O20030507000045,1427153881
O20030507000045,1538597703
O20030507000045,1639345341
O20030507000045,1992838288
O20030507000049,1356897706
O20030507000049,1437883667
O20030507000049,1528066685
